diaObjectId,dec,ra,g_psfFluxErrMean,g_psfFluxLinearSlope,g_psfFluxMAD,g_psfFluxMax,g_psfFluxMean,g_psfFluxMeanErr,g_psfFluxMin,g_psfFluxNdata,g_psfFluxSigma,g_psfFluxStetsonJ,g_psfFluxChi2
592916593080533021,-48.15908789586419,59.453777047876564,,,,,,,,,,,
611255759837075172,-27.80478485697386,53.26088674896192,,,,,,,,,,,
604063373243449619,-34.52533524690462,40.09442414123532,,,,,,,,,,,
579576012342297294,-72.4703838591446,5.561877344526569,569.881,,0.0,-6368.4541015625,-6368.4541015625,569.881103515625,-6368.4541015625,1.0,,,0.0
611255072642309388,-27.889156406910015,53.241286101155616,,,,,,,,,,,
628762596291379609,-10.447864105897155,105.92696713076577,197.454,,0.0,1882.33984375,1882.33984375,197.4539337158203,1882.33984375,1.0,,,0.0
612922619464778055,-25.30145432895524,94.47538553528574,,,,,,,,,,,
614435616184074886,-25.257156886632703,95.17460391022092,,,,,,,,,,,
630406709772294049,-10.281795858653863,106.10047287451141,221.388,,0.0,1235.047119140625,1235.047119140625,221.38792419433594,1235.047119140625,1.0,,,0.0
628761840377138793,-10.584642502087338,106.04438395805523,,,,,,,,,,,
614437677768379562,-24.85827155464242,95.23201616482564,129.047,17.997735409682022,0.00384521,-583.048583984375,-710.5093994140625,73.47852325439453,-805.975341796875,3.0,128.7057136290648,-0.07407811715724066,2.2537
592914531496232034,-48.67234758556756,59.299027851554634,,,,,,,,,,,
579583296606830766,-72.38600262726794,6.9373761598805865,,,,,,,,,,,
604063441962930198,-34.4811098610586,39.82668499858618,,,,,,,,,,,
591818524561769024,-49.25245052504831,58.83929719695825,,,,,,,,,,,
579577386731836651,-72.03302563742982,5.218018534021494,,,,,,,,,,,
628769811836438412,-10.44337228705855,106.51385583592442,,,,,,,,,,,
611253766972245737,-28.217144815171988,53.03072159294668,,,,,,,,,,,
628761840377151104,-10.52404012157356,106.03525090789442,,,,,,,,,,,
611255003922829366,-27.896470931946983,53.38973961209535,,,,,,,,,,,
630406022577525246,-10.407489611837292,106.08867843926437,,,,,,,,,,,
592914119179371706,-48.7365754972391,58.437279828261765,,,,,,,,,,,
592913363265126719,-48.99877390403744,58.63324188846853,,,,,,,,,,,
630406022577531611,-10.39749137717841,106.02830663803815,141.677,,0.0,797.8729248046875,797.8729248046875,141.67726135253906,797.8729248046875,1.0,,,0.0
630406503613863959,-10.261936993774212,106.55071523675672,,,,,,,,,,,
611254454167015099,-28.18642457683607,52.9549290942443,,,,,,,,,,,
628769193361153161,-10.499372212078658,106.27697759599552,,,,,,,,,,,
628768506166378639,-10.728467785337338,106.42255959366939,517.815,270.9181390140636,930.989,20437.79296875,3906.48681640625,129.003173828125,603.5227661132812,15.0,4826.358723350914,3.9244591437178884,724.741
592915218691001760,-48.463953013048176,59.45250725521964,150.126,,0.0,857.7066040039062,857.7066040039062,150.12579345703125,857.7066040039062,1.0,,,0.0
630405953858045111,-10.375308473138492,106.29682334225572,208.086,,0.0,-1168.843505859375,-1168.843505859375,208.08595275878906,-1168.843505859375,1.0,,,0.0
592913157106697514,-48.98614548745004,59.4576380529834,,,,,,,,,,,
609789423642477373,-28.334799664606496,53.48700092103923,136.895,,0.0,901.5655517578125,901.5656127929688,136.8946533203125,901.5655517578125,1.0,,,1.98787e-13
628768506166389748,-10.684445633893507,106.43176056212637,,,,,,,,,,,
630406022577522350,-10.410657011466837,106.13673352270592,,,,,,,,,,,
592912607350883790,-49.04582594474009,58.7938187225968,,,,,,,,,,,
648365651664044221,6.776541034739957,37.410179999089536,,,,,,,,,,,
611253698252769380,-28.25700994289048,53.27206619769167,132.31,,0.0,688.1137084960938,688.1137084960938,132.3103485107422,688.1137084960938,1.0,,,0.0
612929903729315018,-25.35587496823768,95.13977875306495,174.375,,0.0,957.324951171875,957.3248901367188,174.37515258789062,957.324951171875,1.0,,,1.22515e-13
614437609048900463,-24.775574208531147,95.43239891338293,,,,,,,,,,,
609788805167190627,-28.366529934129563,53.432138168643924,,,,,,,,,,,
628761221901845085,-10.782540949631768,105.86717068111768,204.223,,0.0,-1180.5894775390625,-1180.58935546875,204.22256469726562,-1180.5894775390625,1.0,,,3.57283e-13
579584670996366555,-71.99791027006864,7.0036664941868025,,,,,,,,,,,
614436853134656423,-24.95443141475205,95.58010807195895,,,,,,,,,,,
628762527571908708,-10.433233702465479,106.01467727681398,274.47,,0.0,1597.0516357421875,1597.0516357421875,274.4703674316406,1597.0516357421875,1.0,,,0.0
630406022577533402,-10.338914411426646,106.14016172518275,,,,,,,,,,,
614431080698611109,-24.67266561066888,94.68857137145744,141.613,,0.0,740.8121337890625,740.8121337890625,141.61273193359375,740.8121337890625,1.0,,,0.0
609780764988407918,-28.62396998035996,52.945364985023346,,,,,,,,,,,
579577386731831709,-72.10500914970204,5.4092916299200775,322.605,-1511743.9208773545,600.624,3005.125732421875,1372.0350341796875,168.71490478515625,-6939.33056640625,3.0,5576.142063701154,9.302921923771232,392.048
579583915082121346,-72.291220601431,7.216374329380374,,,,,,,,,,,
